Molecule ChEMBL ID,Smiles,pChEMBL Value,Comment
CHEMBL376676,C[C@H]1CNC[C@H]2c3cccc(C(F)(F)F)c3C(=O)N12,6.43,Agonist
CHEMBL375642,CN1CCN2C(=O)c3c(cccc3C(F)(F)F)[C@@H]2C1,6,Agonist
CHEMBL373483,CCCCc1cc2c(c(C(F)(F)F)c1)C(=O)N1CCNC[C@@H]21,,
CHEMBL3770963,COc1ccc(F)c(F)c1C1CC1CN.Cl,6.34,
CHEMBL3769828,Cl.NCC1CC1c1cc(F)c(F)cc1OCCF,6.44,
CHEMBL3770225,COc1ccc(F)c(Cl)c1C1CC1CN.Cl,6.92,
CHEMBL4091672,COc1ccccc1CNC[C@H]1C[C@@H]1c1cc(F)ccc1OCCF.Cl,7.62,
CHEMBL4067525,COc1cccc(CNC[C@H]2C[C@@H]2c2cc(F)ccc2OC)c1.Cl,5.43,
CHEMBL4104218,COc1ccc(F)cc1[C@H]1C[C@@H]1CNCc1ccccc1Cl.Cl,5.45,
CHEMBL4087858,COc1ccc(F)cc1C1CC1CNC1(c2ccccc2OC)CC1.Cl,6.18,
CHEMBL383042,COc1ccccc1CN[C@@H](C)Cn1ccc2ccc3ncccc3c21,,
CHEMBL451232,Cl.NC[C@H]1C[C@@H]1c1ccc(F)cc1Cl,7.04,
CHEMBL452458,Cl.NC[C@H]1C[C@@H]1c1ccc(Cl)cc1Cl,7.29,
CHEMBL4748110,CCc1cc2c([C@H]3C[C@@H]3CN)c(OC)ccc2o1.Cl,6.03,
CHEMBL4790652,CCOc1ccc2c(c1[C@H]1C[C@@H]1CN)CCO2.Cl,6.95,
CHEMBL3416055,Cl.NC[C@H]1C[C@@H]1c1cc(Cl)ccc1OCCF,5.83,
CHEMBL4752611,CCc1cc2c([C@@H]3C[C@H]3CN)c(OCCF)ccc2o1.Cl,,Not Active
CHEMBL4470610,Cl.NC[C@H]1C[C@]1(F)c1ccccc1Br,6.91,
CHEMBL4071321,Cc1nc(-c2cccc3ccccc23)sc1C(=O)N(C)Cc1ccn(C)n1,,
CHEMBL4087951,Cc1nc(-c2cccc3ccccc23)n(C)c1C(=O)N1CCC(CO)CC1,,
CHEMBL4093978,CCn1nc(-c2cccc3ccccc23)cc1-c1nccn1C,,
CHEMBL451368,COc1ccccc1[C@H]1C[C@@H]1CN.Cl,5.66,
CHEMBL464475,Cl.NC[C@H]1C[C@@H]1c1cccc(Cl)c1Cl,6.46,
CHEMBL510308,Cl.NC[C@H]1C[C@@H]1c1ccccc1F,,
