drug,5HT1A,5HT1B,5HT1D,5HT1E,5HT1F,5HT2A,5HT2B,5HT2C,5HT5A,5HT6,5HT7,Alpha1A,Alpha1B,Alpha1D,Alpha2A,Alpha2B,Alpha2C,Beta1AR,Beta2AR,Beta3AR,DRD1,DRD2,DRD3,DRD4,DRD5
LSD,95.56815069,114.3515147,113.14,109.32,109.5482724,110.94,72.34,78.59,70.05,85.68,0.0,84.46,41.66,56.95,53.34,30.94,60.72,0.0,0.0,52.91,42.72729203,99.86,90.21,102.59,84.0
LSZ,89.55725191,110.4095983,117.16,118.07,108.0649834,110.66,61.48,100.65,141.85,76.26,52.85,95.48,36.37,60.19,47.16,66.46,16.57,0.0,0.0,0.0,44.25046425,93.71,87.97,84.54,69.3
Lisuride,89.47443327,112.1866956,104.43,106.79,106.4574318,96.92,33.61,99.4,116.64,67.37,0.0,69.68,0.0,37.58,0.0,0.0,0.0,0.0,0.0,0.0,41.58657119,98.56,92.47,96.72,68.2
MAL,28.04609405,87.08876147,75.1,103.28,92.34707583,109.01,102.84,101.97,20.85,0.0,0.0,0.0,0.0,50.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.81,0.0,0.0
MDMA,48.19303848,91.15476941,50.81,0.0,56.83884671,76.55,84.25,105.64,23.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.97,0.0,0.0
METALLAD,76.29063995,111.9256202,89.94,95.88,114.5509291,86.2,91.91,77.65,43.57,40.31,68.96,56.25,0.0,0.0,43.44,82.84,29.88,0.0,0.0,0.0,0.0,89.89,84.65,42.75,0.0
Mescaline,25.72390399,104.8786274,104.02,93.09,90.41087489,110.1,104.97,75.87,38.21,0.0,0.0,0.0,0.0,0.0,27.27,0.0,0.0,0.0,0.0,0.0,0.0,30.6,97.15,0.0,0.0
Methylone,45.75063711,89.29046637,41.2,0.0,35.14476626,0.0,0.0,93.75,30.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.22,0.0,0.0,0.0
"N,N-DMT",71.78557699,118.7735093,101.11,119.68,107.5308372,90.79,80.46,99.61,96.78,69.93,81.53,59.3,38.59,65.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.64,0.0,0.0
Nor-LSD,112.5866025,106.516792,101.65,113.96,114.1849843,108.78,100.03,110.69,95.53,96.93,82.69,0.0,0.0,61.45,89.05,80.77,80.1,0.0,0.0,0.0,74.97415845,107.76,80.43,104.42,107.86
Psilocin,69.11,118.0133515,94.6,104.37,106.2340789,88.45,54.22,71.07,114.48,84.53,82.47,73.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.49,104.06,0.0,0.0
Psilocybin,26.73,111.1211177,102.95,95.8,98.01953632,88.21,58.32,73.71,67.12,61.42,115.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCB-2,54.46424601,99.87254496,106.84,111.72,109.6482049,101.18,90.23,96.2,39.68,79.73,79.47,110.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.08,83.85,0.0,0.0
